country	continent	int	m	sd	maxResid
Kenya	Africa	47.0020384615385	0.206507692307692	4.38217412409025	6.33542307692307
Korea, Dem. Rep.	Asia	54.9056025641026	0.316426573426573	3.88817625812141	5.0120641025641
Korea, Rep.	Asia	49.7275	0.5554	1.17424269212118	2.27449999999998
Kuwait	Asia	57.4593333333333	0.416836363636363	1.76285478526718	2.79733333333334
Lebanon	Asia	58.687358974359	0.26102937062937	1.22773110177881	2.75935897435892
Lesotho	Africa	47.3790256410257	0.0955657342657339	5.93393350754046	10.043141025641
Liberia	Africa	39.8364230769231	0.0959937062937062	1.7728313543141	2.87417132867133
Libya	Africa	42.1019358974359	0.625535664335664	1.53988573827618	2.55439743589744
Madagascar	Africa	36.6680641025641	0.403727972027972	0.559654390625488	1.44854312354312
Malawi	Africa	36.9103717948718	0.234225874125874	1.93315556857978	3.6126655011655
Malaysia	Asia	51.505217948718	0.464522377622377	2.08801607696053	3.04221794871791
Mali	Africa	33.0512307692308	0.37680979020979	0.481602601461275	0.757475524475526
Mauritania	Africa	40.0256025641026	0.446417482517482	0.407532308413623	0.517397435897459
Mauritius	Africa	55.3707692307692	0.348453846153846	1.74021417890486	4.38476923076922
Mexico	Americas	53.0053717948718	0.451034965034965	1.04508297737726	2.21637179487178
Mongolia	Asia	43.8264102564103	0.438688111888112	0.940252195499795	1.58241025641024
Montenegro	Europe	62.2416282051282	0.293001398601398	2.75383174249396	3.81370512820512
Morocco	Africa	42.6908333333334	0.542472727272727	0.75695487035726	1.36283333333333
Mozambique	Africa	34.2061538461539	0.224485314685315	2.29172661936412	4.47084615384615
Myanmar	Asia	41.4115512820513	0.433095104895104	3.03282800915254	5.09255128205123
Namibia	Africa	47.1343333333333	0.231163636363636	4.96080237400558	7.21351515151515
Nepal	Asia	34.431641025641	0.529261538461538	0.924260089379889	1.72535897435899
Netherlands	Europe	71.8896153846154	0.136686713286713	0.347760135564895	0.873349650349657
Nicaragua	Americas	43.0451282051282	0.55651958041958	0.598421406371567	0.975480186480183
Niger	Africa	35.1506666666667	0.34210909090909	2.18376761861725	2.90033333333334
